ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000030,NHS South East London Integrated Care Board,2020/21,4,13,0,6
E54000028,NHS North Central London Integrated Care Board,2021/22,5,9,0,12
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,5,14,1,5
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,4,15,0,2
E54000029,NHS North East London Integrated Care Board,2022/23,1,21,0,9757
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,3,15,1,5
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,3,15,1,5
E54000031,NHS South West London Integrated Care Board,2021/22,3,13,0,3821
E54000030,NHS South East London Integrated Care Board,2019/20,3,5,0,616
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,3,9,0,3093
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,4,10,0,31
E54000037,NHS Devon Integrated Care Board,2019/20,1,20,1,88
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,14,1,13
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,3,10,0,247
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,1,3,1,31
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,3,5,0,37
E54000028,NHS North Central London Integrated Care Board,2022/23,4,20,0,418
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,3,9,0,2426
